linker_smiles,common_name,compatible_metals,mof_ids
Cc1c(c2ccc(cc2)C(=O)[O-])c(C)c(c(c1c1ccc(cc1)C(=O)[O-])C)c1ccc(cc1)C(=O)[O-],,In,Cc1c(c2ccc(cc2)C(=O)[O-])c(C)c(c(c1c1ccc(cc1)C(=O)[O-])C)c1ccc(cc1)C(=O)[O-].[In].[OH]
Cc1c(cc(c(c1c1c(C)c(cc(c1O)c1ccc(c2c1cccc2)C(=O)[O-])c1ccc(c2c1cccc2)C(=O)[O-])O)c1ccc(c2c1cccc2)C(=O)[O-])c1ccc(c2c1cccc2)C(=O)[O-],,Zr,Cc1c(cc(c(c1c1c(C)c(cc(c1O)c1ccc(c2c1cccc2)C(=O)[O-])c1ccc(c2c1cccc2)C(=O)[O-])O)c1ccc(c2c1cccc2)C(=O)[O-])c1ccc(c2c1cccc2)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]3[Zr]1389%10[O]%114[Zr]4%12%13%145[O]56[Zr]6%15%162([O]71[O]86[Zr]12[O]%10[Zr]6([O]3%114)[O]%13[Zr]([O]%125%15)([O]%161)[O]26)[O]9%14
Cc1cc(C(=O)[O-])c(c(c1C)c1c(C)c(C)cc(c1O)C(=O)[O-])O,,Zn,Cc1cc(C(=O)[O-])c(c(c1C)c1c(C)c(C)cc(c1O)C(=O)[O-])O.[Zn][O]([Zn])([Zn])[Zn]
Cc1cc(C)c(c(c1C)B(c1c(C)c(C)c(c(c1C)C)C(=O)[O-])c1c(C)c(C)c(c(c1C)C)C(=O)[O-])C,,Zn,Cc1cc(C)c(c(c1C)B(c1c(C)c(C)c(c(c1C)C)C(=O)[O-])c1c(C)c(C)c(c(c1C)C)C(=O)[O-])C.[Zn]
Cc1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)C,,Co,Cc1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)C.[Co]
Cc1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cu,Cc1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu]
Cc1cc(ccc1c1ccc(cc1C)C(=O)[O-])C(=O)[O-],4-(4-carboxylato-2-methylphenyl)-3-methylbenzoate,"Th, U, Zr",Cc1cc(ccc1c1ccc(cc1C)C(=O)[O-])C(=O)[O-].[O]12[Th]34[O]5[Th]62[O]2[Th]71[O]4[Th]14[O]3[Th]35[O]6[Th]2([O]71)[O]43; Cc1cc(ccc1c1ccc(cc1C)C(=O)[O-])C(=O)[O-].[O]12[U]34[O]5[U]62[O]2[U]71[O]4[U]14[O]3[U]35[O]6[U]2([O]71)[O]43; Cc1cc(ccc1c1ccc(cc1C)C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
Cc1cnccc1c1cccc(c1)C(=O)[O-],,Cu,Cc1cnccc1c1cccc(c1)C(=O)[O-].[Cu]
Cc1ncn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,"Co, Cu",Cc1ncn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co][Co]; Cc1ncn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu]
Cl[C]1C(=O)C(=O)[C](C(=O)C1=O)Cl,"3,6-dichlorocyclohexane-1,2,4,5-tetrone","Er, Fe",Cl[C]1C(=O)C(=O)[C](C(=O)C1=O)Cl.[Er]; Cl[C]1C(=O)C(=O)[C](C(=O)C1=O)Cl.[Fe].[O]S(=O)(=O)[O]
Clc1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-chlorobenzene-1,3-dicarboxylate",Zn,Clc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
Fc1cc([C]2C=NN=C2)c(cc1[C]1C=NN=C1)F,,Co,Fc1cc([C]2C=NN=C2)c(cc1[C]1C=NN=C1)F.[Co]
Fc1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cu,Fc1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu]
Ic1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-iodobenzene-1,3-dicarboxylate",Zn,Ic1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N,p-Benzenedimalononitrile,Rh,N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[Rh][Rh]
N#C[C]1C(=O)[C]([O])C(=C(C1=O)[O])Cl,,Fe,N#C[C]1C(=O)[C]([O])C(=C(C1=O)[O])Cl.[Fe]
N#Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-cyanobenzene-1,3-dicarboxylate",Co,N#Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co]
N1=C[N]N([CH]1)c1ccc(cc1)C1=NN=N[N]1,,Cu,N1=C[N]N([CH]1)c1ccc(cc1)C1=NN=N[N]1.[Cu]
N1[CH]C=C(C=C1)C1=C2C=CC(=C(C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)C1=C[CH]NC=C1)C=C3)c1ccncc1)[N]2,,Co,N1[CH]C=C(C=C1)C1=C2C=CC(=C(C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)C1=C[CH]NC=C1)C=C3)c1ccncc1)[N]2.[Co]
NC(=S)NN=Cc1ccncc1,{[(pyridin-4-yl)methylidene]amino}thiourea,Ag,NC(=S)NN=Cc1ccncc1.[Ag]
NC1=NC=NC2=NC=N[C]12,5H-purin-6-amine,Cu,NC1=NC=NC2=NC=N[C]12.[Cu].[Cu]1[OH]2[Cu][OH]3[Cu]4562[OH]1[Cu][OH]6[Cu][OH]5[Cu][OH]4[Cu]3
NNC(=O)NN=C(c1ccncc1)C,1-amino-3-(1-pyridin-4-ylethylideneamino)urea,Zn,NNC(=O)NN=C(c1ccncc1)C.[Zn]
Nc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])N)c1ccc(cc1)C(=O)[O-],,Zr,Nc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])N)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
Nc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],,Cu,Nc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Cu].[Cu][Cu]
Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-aminobenzene-1,3-dicarboxylate",Co,Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co][OH]([Co][OH]([Co])[Co])[Co]
Nc1ccc(cc1)Cn1ncnc1,119192-10-8,Cd,Nc1ccc(cc1)Cn1ncnc1.[Cd]
Nc1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cu,Nc1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][O]([Cu])([Cu])[Cu]
Nc1cnccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Co,Nc1cnccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co][OH]([Co])[Co]
Nc1cnccc1c1ccncc1,"[4,4'-Bipyridin]-3-amine",Cu,Nc1cnccc1c1ccncc1.[Cu]
Nc1nc(N)c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cu,Nc1nc(N)c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu]
Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1,"3,5-bis(3-pyridin-4-ylphenyl)-1,2,4-triazol-4-amine",Cd,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[Cd]
O=C(C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)O)C(=O)[O-],,Cd,O=C(C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)O)C(=O)[O-].[Cd]
O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cu,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu]
O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-],"4-[[3,5-bis[(4-carboxylatophenyl)carbamoyl]benzoyl]amino]benzoate","La, Y",O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[La]; O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Y]
O=C(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cd,O=C(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd]
O=C(c1ccc(cc1)C(=O)NCC(=O)[O-])NCC(=O)[O-],2-[[4-(carboxylatomethylcarbamoyl)benzoyl]amino]acetate,In,O=C(c1ccc(cc1)C(=O)NCC(=O)[O-])NCC(=O)[O-].[In].[OH]
O=C(c1ccc(cc1)C(=O)[O-])Nc1cc2ccccc2cc1NC(=O)c1ccc(cc1)C(=O)[O-],,Eu,O=C(c1ccc(cc1)C(=O)[O-])Nc1cc2ccccc2cc1NC(=O)c1ccc(cc1)C(=O)[O-].[Eu].[Eu][Eu]
O=C(c1ccc(s1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Ni,O=C(c1ccc(s1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Ni][OH2][Ni]
O=C(c1cccc(n1)C(=O)Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-],,Cu,O=C(c1cccc(n1)C(=O)Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-].[Cu][Cu]
O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1,,"Eu, Gd, Tb",O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Eu]; O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Gd]; O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Tb]
O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cu,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu]
O=C1C(=O)C(=C1Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-],,Zn,O=C1C(=O)C(=C1Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-].[O].[Zn]
O=C1C(=O)C(=O)C1=O,"1,2,3,4-Cyclobutanetetrone",Co,O=C1C(=O)C(=O)C1=O.[Co].[OH]
O=C1N([C]2C(=NN=C2C)C)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)[C]1C(=NN=C1C)C,,Cu,O=C1N([C]2C(=NN=C2C)C)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)[C]1C(=NN=C1C)C.[Cu]1[OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH][Cu][OH]1
O=C1N(c2cccc(c2)C(=O)[O-])C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1cccc(c1)C(=O)[O-],"3-[13-(3-carboxylatophenyl)-5,7,12,14-tetraoxo-6,13-diazatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),2,4(16),8,10-pentaen-6-yl]benzoate",Eu,O=C1N(c2cccc(c2)C(=O)[O-])C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1cccc(c1)C(=O)[O-].[Eu]
O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-],,Zn,O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn]
O=C1O[Cd]2345OC(=O)c6ccc(-c7cc8c(-c9ccc1cc9)cc([O])c(-c1c(cc(-c9ccc([C](O2)O3)cc9)c2cc(-c3ccc([C](O4)O5)cc3)ccc12)[O])c8cc7)cc6,,Cd,O=C1O[Cd]2345OC(=O)c6ccc(-c7cc8c(-c9ccc1cc9)cc([O])c(-c1c(cc(-c9ccc([C](O2)O3)cc9)c2cc(-c3ccc([C](O4)O5)cc3)ccc12)[O])c8cc7)cc6.[Cd]
O=C1O[Cd]234O[C](O2)c2ccc(-c5ccc(-n6c7ccc(-c8ccc1cc8)cc7c1cc(-c7ccc([C](O3)O4)cc7)ccc61)cc5)cc2,,Cd,O=C1O[Cd]234O[C](O2)c2ccc(-c5ccc(-n6c7ccc(-c8ccc1cc8)cc7c1cc(-c7ccc([C](O3)O4)cc7)ccc61)cc5)cc2.[OH2][Cd][OH2]
O=C1c2cc(ccc2-c2c1cc(cc2)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,"Eu, Gd, Tb",O=C1c2cc(ccc2-c2c1cc(cc2)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Eu]; O=C1c2cc(ccc2-c2c1cc(cc2)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Gd]; O=C1c2cc(ccc2-c2c1cc(cc2)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb]
O=C1c2ccc3c4c2c(C(=O)N1n1cnnc1)ccc4C(=O)N(C3=O)n1cnnc1,"2,7-BIS(4H-1,2,4-TRIAZOL-4-YL)BENZO[LMN][3,8]PHENANTHROLINE-1,3,6,8(2H,7H)-TETRONE",Fe,O=C1c2ccc3c4c2c(C(=O)N1n1cnnc1)ccc4C(=O)N(C3=O)n1cnnc1.[Fe].[O]
O=Cc1c([O])c(C=O)c(c(c1[O])C=O)[O],34374-88-4,Cu,O.O=Cc1c([O])c(C=O)c(c(c1[O])C=O)[O].[Cu]
O=Cc1ccc(cc1[O])c1ccncc1,SCHEMBL31398624,"Co, Cu, Zn",O=Cc1ccc(cc1[O])c1ccncc1.[Co]; O=Cc1ccc(cc1[O])c1ccncc1.[Cu]; O=Cc1ccc(cc1[O])c1ccncc1.[Zn]
O=N(=O)c1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],,Pr,O=N(=O)c1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Pr]
O=P(c1ccccc1)(c1ccccc1)c1ccc(cc1)c1cc(nc(c1)c1ccncc1)c1ccncc1,,Co,O=P(c1ccccc1)(c1ccccc1)c1ccc(cc1)c1cc(nc(c1)c1ccncc1)c1ccncc1.[Co]
OC(=O)c1cc(cc(c1)c1cc(ccc1C(=O)[O-])C(=O)[O-])c1cc(ccc1C(=O)[O-])C(=O)[O-],,Co,OC(=O)c1cc(cc(c1)c1cc(ccc1C(=O)[O-])C(=O)[O-])c1cc(ccc1C(=O)[O-])C(=O)[O-].[Co][OH]1[Co][OH]([Co]1)[Co]
OC(=O)c1cc(cc(c1)n1cncc1)n1cncc1,"3,5-Di(1H-imidazol-1-yl)benzoic acid",Cu,OC(=O)c1cc(cc(c1)n1cncc1)n1cncc1.[Cu]
OC(=O)c1ccc(cc1c1ncccc1C(=O)[O-])C(=O)[O-],,Cd,OC(=O)c1ccc(cc1c1ncccc1C(=O)[O-])C(=O)[O-].[Cd]
Oc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])O)c1ccc(cc1)C(=O)[O-],,Zr,Oc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[NH]c1cc2c(cc1[NH])c1cc([NH])c(cc1c1c2cc([NH])c(c1)[NH])[NH],1159202-33-1,Fe,[Fe].[NH]c1cc2c(cc1[NH])c1cc([NH])c(cc1c1c2cc([NH])c(c1)[NH])[NH]
[O-]C(=O)C#CC(=O)[O-],"2-Butynedioic acid, ion(2-)","In, Zr",[In].[O-]C(=O)C#CC(=O)[O-].[OH]; [O-]C(=O)C#CC(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43
[O-]C(=O)C(=O)[O-],oxalate,"Fe, Sc, U",[Fe].[O-]C(=O)C(=O)[O-]; [O-]C(=O)C(=O)[O-].[Sc]; [O-]C(=O)C(=O)[O-].[U]
[O-]C(=O)C(NC(=O)C1=CN=N[CH]1)C,,Zn,[O-]C(=O)C(NC(=O)C1=CN=N[CH]1)C.[Zn]
[O-]C(=O)C(n1cnnc1)Cc1cnc[nH]1,"3-(1H-imidazol-5-yl)-2-(1,2,4-triazol-4-yl)propanoate",Cu,[Cu].[O-]C(=O)C(n1cnnc1)Cc1cnc[nH]1
[O-]C(=O)C1=CC(=S)C(=CC1=S)C(=O)[O-],,Mn,[Mn].[O-]C(=O)C1=CC(=S)C(=CC1=S)C(=O)[O-]
[O-]C(=O)C1=CC=CN([CH]1)Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cd,[Cd].[O-]C(=O)C1=CC=CN([CH]1)Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-],"1,2,2-trimethylcyclopentane-1,3-dicarboxylate",Zn,[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)C1CCC(CC1)C(=O)[O-],3pwk,Co,O.[Co].[O-]C(=O)C1CCC(CC1)C(=O)[O-]
[O-]C(=O)C=CC(=O)[O-],butenedioate,"Sm, Tb",[O-]C(=O)C=CC(=O)[O-].[Sm]; [O-]C(=O)C=CC(=O)[O-].[Tb]
[O-]C(=O)C=CC=CC(=O)[O-],muconate,Zr,[O-]C(=O)C=CC=CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)C=Cc1ccnc2c1cccc2,3-quinolin-4-ylprop-2-enoate,Cu,[Cu][Cu].[O-]C(=O)C=Cc1ccnc2c1cccc2
[O-]C(=O)CC(=O)[O-],MALONATE ION,"Cd, Zn",[Cd].[O-]C(=O)CC(=O)[O-]; [O-]C(=O)CC(=O)[O-].[Zn]
[O-]C(=O)CCCC(=O)[O-],glutarate(2-),"Eu, Gd",[Eu].[O-]C(=O)CCCC(=O)[O-]; [Gd].[O-]C(=O)CCCC(=O)[O-]
[O-]C(=O)CCN1C(=O)c2c(C1=O)cncc2,"3-(1,3-dioxopyrrolo[3,4-c]pyridin-2-yl)propanoate",Cd,[Cd].[O-]C(=O)CCN1C(=O)c2c(C1=O)cncc2
[O-]C(=O)CCP(=O)([O])[O],3-phosphonopropanoate,V,[O-]C(=O)CCP(=O)([O])[O].[V]
[O-]C(=O)CCc1ccc(cc1)C[N]12CCC[N]3([Cu]42(Cl)[N](CC1)(CCC[N]4(CC3)Cc1ccc(cc1)CCC(=O)[O-])Cc1ccc(cc1)CCC(=O)[O-])Cc1ccc(cc1)CCC(=O)[O-],,Cu,[Cu][Cu].[O-]C(=O)CCc1ccc(cc1)C[N]12CCC[N]3([Cu]42(Cl)[N](CC1)(CCC[N]4(CC3)Cc1ccc(cc1)CCC(=O)[O-])Cc1ccc(cc1)CCC(=O)[O-])Cc1ccc(cc1)CCC(=O)[O-]
[O-]C(=O)CN(C1=NC(=[N]=C([N]1)N(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],,"Cd, Eu",[Cd][O]([Cd][OH2]1[Cd][OH2]([Cd]1)[Cd][O]([Cd])[Cd])[Cd].[O-]C(=O)CN(C1=NC(=[N]=C([N]1)N(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]; [Eu].[O-]C(=O)CN(C1=NC(=[N]=C([N]1)N(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
[O-]C(=O)CN(CC(=O)[O-])CCCN(CC(=O)[O-])CC(=O)[O-],NS00114724,"Ce, La, Nd",[Ce].[O-]C(=O)CN(CC(=O)[O-])CCCN(CC(=O)[O-])CC(=O)[O-]; [Nd].[O-]C(=O)CN(CC(=O)[O-])CCCN(CC(=O)[O-])CC(=O)[O-]; [O-]C(=O)CN(CC(=O)[O-])CCCN(CC(=O)[O-])CC(=O)[O-].[OH2][La]
[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-],,Ag,[Ag][Ag].[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-].[O]N(=O)=O
